Beras Medium,Ikan Teri Asin,Bawang Putih Impor Honan,Bawang Putih Impor Kating,Minyak Goreng Bimoli Botol,Bawang Merah (Medium),Cabai Rawit Hijau,Minyak Goreng Curah,Cabai Rawit Merah,Cabai Merah Besar,Daging Sapi Lokal Paha Belakang,Cabai Merah Keriting,Indomie Rasa Kari Ayam,Kacang Kedelai Lokal,Daging Sapi Lokal Daging Has Luar (Sirloin),Gula Pasir,Kacang Kedelai Eks Impor,Daging Sapi Lokal Daging Sandung Lamur (Brisket),Garam Beryodium Halus,Garam Beryodium Bata,Daging Sapi Lokal Daging Tetelan,Jagung Pipilan Kecil,Susu Bubuk Kaleng Merk Indomilk,Susu Bubuk Kaleng Merk Bendera,Daging Sapi Impor Beku,Susu Kental Manis Kaleng Merk Indomilk,Susu Kental Manis Kaleng Merk Bendera,Daging Sapi Lokal Has Dalam,Telur Ayam Kampung,Telur Ayam Ras,Ayam Boiler,Tepung Terigu Segitiga Biru,Ikan Kembung,Ayam Kampung,Kacang Hijau,Ketela Pohon,Beras Premium,Kacang Tanah
10760.0,110600.0,35000.0,40300.0,13450.0,31900.0,40400.0,12700.0,65800.0,49660.0,122000.0,46000.0,2360.0,11433.0,125000.0,13600.0,12000.0,85000.0,11160.0,3900.0,64167.0,15567.0,42500.0,44333.0,90000.0,10140.0,12460.0,148333.0,2420.0,22160.0,36200.0,9900.0,38460.0,86100.0,22500.0,5060.0,12538.0,24500.0
11310.0,105340.0,35000.0,40140.0,13500.0,32500.0,41340.0,12625.0,67660.0,50160.0,123000.0,46700.0,2380.0,11333.0,120000.0,13840.0,11750.0,100000.0,10340.0,4110.0,66667.0,15567.0,42100.0,44000.0,87500.0,10140.0,12300.0,147500.0,2490.0,22350.0,34400.0,10040.0,40160.0,81675.0,23800.0,5340.0,12550.0,25000.0
10760.0,117840.0,45000.0,39740.0,12875.0,34200.0,39240.0,12938.0,67660.0,52160.0,120000.0,46200.0,2380.0,11333.0,120000.0,13690.0,12500.0,100000.0,11340.0,4640.0,60000.0,15567.0,40767.0,42667.0,87500.0,9640.0,11900.0,143333.0,2520.0,23200.0,38700.0,10340.0,42660.0,83900.0,22400.0,5140.0,12363.0,25200.0
11160.0,101300.0,35000.0,37300.0,13375.0,32800.0,38800.0,12450.0,69840.0,53400.0,122000.0,49160.0,2320.0,10767.0,120000.0,13400.0,11675.0,100000.0,10860.0,4020.0,71667.0,15567.0,41733.0,44333.0,85000.0,10140.0,12240.0,146667.0,2370.0,22600.0,36340.0,9760.0,37960.0,80425.0,22660.0,5300.0,13013.0,25260.0
10960.0,111000.0,31500.0,37700.0,12938.0,35700.0,39200.0,12450.0,71940.0,56000.0,122000.0,51060.0,2320.0,10767.0,123333.0,13500.0,12550.0,93333.0,11860.0,4500.0,74000.0,15567.0,40400.0,43000.0,85000.0,10640.0,12640.0,146667.0,2520.0,22400.0,37140.0,10360.0,41460.0,79900.0,22260.0,5000.0,12575.0,24360.0
11160.0,107000.0,34000.0,37900.0,13500.0,34500.0,39200.0,12325.0,73340.0,52900.0,120500.0,52460.0,2320.0,10767.0,116667.0,13500.0,12050.0,85000.0,9460.0,3900.0,55000.0,15567.0,41733.0,44333.0,85000.0,10040.0,12440.0,143333.0,2380.0,22100.0,35540.0,9860.0,39460.0,85567.0,21960.0,5000.0,13325.0,24060.0
10860.0,111000.0,40000.0,40700.0,13625.0,34000.0,37700.0,12700.0,71340.0,56400.0,120500.0,52860.0,2300.0,10767.0,117500.0,13500.0,11300.0,100000.0,11860.0,4080.0,61667.0,15567.0,41733.0,44333.0,95000.0,10540.0,11940.0,145000.0,2420.0,22500.0,37940.0,9960.0,39960.0,79800.0,21760.0,5000.0,13325.0,24260.0
10760.0,116000.0,31500.0,42400.0,13625.0,35100.0,38200.0,12575.0,70340.0,58000.0,123000.0,52560.0,2320.0,10767.0,123333.0,13500.0,13175.0,101667.0,12360.0,4500.0,76667.0,15567.0,40400.0,43000.0,95000.0,10740.0,12240.0,151667.0,2520.0,22500.0,40040.0,10660.0,41460.0,80550.0,22460.0,4900.0,13013.0,25160.0
10820.0,111660.0,31500.0,40340.0,13575.0,34400.0,38060.0,12550.0,67200.0,58000.0,120660.0,55200.0,2360.0,11233.0,121667.0,13540.0,12550.0,100833.0,11500.0,4540.0,69167.0,15667.0,41500.0,43233.0,96650.0,10740.0,12260.0,148333.0,2580.0,22640.0,39660.0,10260.0,42160.0,82825.0,22600.0,4800.0,12763.0,24140.0
10820.0,103660.0,42500.0,44340.0,13450.0,32400.0,38060.0,12425.0,62200.0,56400.0,120660.0,52600.0,2360.0,11233.0,120000.0,13640.0,13300.0,100000.0,12300.0,4560.0,68333.0,15667.0,41500.0,43233.0,86650.0,10740.0,11960.0,148333.0,2380.0,22540.0,36960.0,10010.0,38660.0,85825.0,23200.0,5200.0,12700.0,25340.0
