TANGGAL,KOMODITI,SATUAN,HARGA
43196,Susu Kental Manis Kaleng Merk Bendera,buah,11600
43226,Susu Kental Manis Kaleng Merk Bendera,buah,11500
43257,Susu Kental Manis Kaleng Merk Bendera,buah,12400
43287,Susu Kental Manis Kaleng Merk Bendera,buah,11500
43318,Susu Kental Manis Kaleng Merk Bendera,buah,11600
21/06/2018,Susu Kental Manis Kaleng Merk Bendera,buah,11500
22/06/2018,Susu Kental Manis Kaleng Merk Bendera,buah,11600
25/06/2018,Susu Kental Manis Kaleng Merk Bendera,buah,12200
26/06/2018,Susu Kental Manis Kaleng Merk Bendera,buah,12100
28/06/2018,Susu Kental Manis Kaleng Merk Bendera,buah,11600
29/06/2018,Susu Kental Manis Kaleng Merk Bendera,buah,12100
43196,Susu Kental Manis Kaleng Merk Indomilk,buah,10440
43226,Susu Kental Manis Kaleng Merk Indomilk,buah,10140
43257,Susu Kental Manis Kaleng Merk Indomilk,buah,10140
43287,Susu Kental Manis Kaleng Merk Indomilk,buah,10240
43318,Susu Kental Manis Kaleng Merk Indomilk,buah,10140
21/06/2018,Susu Kental Manis Kaleng Merk Indomilk,buah,9640
22/06/2018,Susu Kental Manis Kaleng Merk Indomilk,buah,9640
25/06/2018,Susu Kental Manis Kaleng Merk Indomilk,buah,9540
26/06/2018,Susu Kental Manis Kaleng Merk Indomilk,buah,9540
28/06/2018,Susu Kental Manis Kaleng Merk Indomilk,buah,9540
29/06/2018,Susu Kental Manis Kaleng Merk Indomilk,buah,9540
43196,Susu Bubuk Kaleng Merk Bendera,buah,43933
43226,Susu Bubuk Kaleng Merk Bendera,buah,43933
43257,Susu Bubuk Kaleng Merk Bendera,buah,43933
43287,Susu Bubuk Kaleng Merk Bendera,buah,43933
43318,Susu Bubuk Kaleng Merk Bendera,buah,43933
21/06/2018,Susu Bubuk Kaleng Merk Bendera,buah,43933
22/06/2018,Susu Bubuk Kaleng Merk Bendera,buah,43933
25/06/2018,Susu Bubuk Kaleng Merk Bendera,buah,43933
26/06/2018,Susu Bubuk Kaleng Merk Bendera,buah,43933
28/06/2018,Susu Bubuk Kaleng Merk Bendera,buah,43933
29/06/2018,Susu Bubuk Kaleng Merk Bendera,buah,43933
43196,Susu Bubuk Kaleng Merk Indomilk,buah,42267
43226,Susu Bubuk Kaleng Merk Indomilk,buah,42267
43257,Susu Bubuk Kaleng Merk Indomilk,buah,42267
43287,Susu Bubuk Kaleng Merk Indomilk,buah,42267
43318,Susu Bubuk Kaleng Merk Indomilk,buah,42267
21/06/2018,Susu Bubuk Kaleng Merk Indomilk,buah,42267
22/06/2018,Susu Bubuk Kaleng Merk Indomilk,buah,42267
25/06/2018,Susu Bubuk Kaleng Merk Indomilk,buah,42267
26/06/2018,Susu Bubuk Kaleng Merk Indomilk,buah,42267
28/06/2018,Susu Bubuk Kaleng Merk Indomilk,buah,42267
29/06/2018,Susu Bubuk Kaleng Merk Indomilk,buah,42267
43196,Jagung Pipilan Kecil,Kg,15100
43226,Jagung Pipilan Kecil,Kg,15100
43257,Jagung Pipilan Kecil,Kg,15100
43287,Jagung Pipilan Kecil,Kg,15100
43318,Jagung Pipilan Kecil,Kg,15100
21/06/2018,Jagung Pipilan Kecil,Kg,15100
22/06/2018,Jagung Pipilan Kecil,Kg,15100
25/06/2018,Jagung Pipilan Kecil,Kg,15100
26/06/2018,Jagung Pipilan Kecil,Kg,15100
28/06/2018,Jagung Pipilan Kecil,Kg,15100
29/06/2018,Jagung Pipilan Kecil,Kg,15100
43196,Garam Beryodium Bata,250 gr,3860
43226,Garam Beryodium Bata,250 gr,3900
43257,Garam Beryodium Bata,250 gr,3680
43287,Garam Beryodium Bata,250 gr,3760
43318,Garam Beryodium Bata,250 gr,3740
21/06/2018,Garam Beryodium Bata,250 gr,3880
22/06/2018,Garam Beryodium Bata,250 gr,3960
25/06/2018,Garam Beryodium Bata,250 gr,3680
26/06/2018,Garam Beryodium Bata,250 gr,3680
28/06/2018,Garam Beryodium Bata,250 gr,3680
29/06/2018,Garam Beryodium Bata,250 gr,3780
43196,Garam Beryodium Halus,Kg,12360
43226,Garam Beryodium Halus,Kg,11660
43257,Garam Beryodium Halus,Kg,10360
43287,Garam Beryodium Halus,Kg,11360
43318,Garam Beryodium Halus,Kg,11160
21/06/2018,Garam Beryodium Halus,Kg,10560
22/06/2018,Garam Beryodium Halus,Kg,10860
25/06/2018,Garam Beryodium Halus,Kg,9760
26/06/2018,Garam Beryodium Halus,Kg,11260
28/06/2018,Garam Beryodium Halus,Kg,11160
29/06/2018,Garam Beryodium Halus,Kg,10160
43196,Tepung Terigu Segitiga Biru,Kg,10200
43226,Tepung Terigu Segitiga Biru,Kg,10600
43257,Tepung Terigu Segitiga Biru,Kg,10200
43287,Tepung Terigu Segitiga Biru,Kg,10300
43318,Tepung Terigu Segitiga Biru,Kg,10000
